MaGiaoDich,Ngay,Thang,KhuVuc,TenSanPham,SoLuong,GiaBan,GiaVon,DoanhThu,LoiNhuan
99,14/03/2023,3,Miền Bắc,Bàn phím,3,824000,500000,2472000,972000
100,21/07/2023,7,Miền Bắc,Điện thoại,3,7600000,6000000,22800000,4800000
101,12/03/2023,3,Miền Trung,Điện thoại,5,7920000,6600000,39600000,6600000
102,03/08/2023,8,Miền Trung,Laptop Dell,3,14700000,13200000,44100000,4500000
103,20/02/2023,2,Miền Trung,Tai nghe,6,500000,275000,3000000,1350000
104,03/04/2023,4,Miền Trung,Chuột quang,2,202000,110000,404000,184000
105,14/08/2023,8,Miền Trung,Điện thoại,3,7920000,6600000,23760000,3960000
106,02/07/2023,7,Miền Trung,Laptop Dell,1,15000000,13200000,15000000,1800000
107,12/09/2023,9,Miền Trung,Điện thoại,1,7680000,6600000,7680000,1080000
108,25/07/2023,7,Miền Trung,Chuột quang,3,190000,110000,570000,240000
109,28/03/2023,3,Miền Bắc,Tai nghe,2,505000,250000,1010000,510000
110,14/05/2023,5,Miền Nam,Tai nghe,2,495000,250000,990000,490000
111,10/03/2023,3,Miền Trung,Tai nghe,1,485000,275000,485000,210000
112,27/12/2023,12,Miền Trung,Laptop Dell,4,15000000,13200000,60000000,7200000
113,15/10/2023,10,Miền Nam,Chuột quang,4,198000,100000,792000,392000
114,06/11/2023,11,Miền Nam,Chuột quang,1,194000,100000,194000,94000
115,28/09/2023,9,Miền Bắc,Điện thoại,5,8080000,6000000,40400000,10400000
116,28/02/2023,2,Miền Nam,Tai nghe,3,515000,250000,1545000,795000
117,14/01/2023,1,Miền Bắc,Chuột quang,7,198000,100000,1386000,686000
118,24/01/2023,1,Miền Nam,Bàn phím,6,784000,500000,4704000,1704000
119,14/05/2023,5,Miền Bắc,Điện thoại,2,8160000,6000000,16320000,4320000
120,17/05/2023,5,Miền Bắc,Điện thoại,1,7840000,6000000,7840000,1840000
121,22/11/2023,11,Miền Nam,Bàn phím,6,832000,500000,4992000,1992000
122,12/05/2023,5,Miền Trung,Điện thoại,3,7840000,6600000,23520000,3720000
123,28/09/2023,9,Miền Nam,Laptop Dell,5,15150000,12000000,75750000,15750000
124,23/12/2023,12,Miền Bắc,Chuột quang,1,196000,100000,196000,96000
125,12/05/2023,5,Miền Nam,Laptop Dell,5,15600000,12000000,78000000,18000000
126,25/09/2023,9,Miền Bắc,Tai nghe,2,495000,250000,990000,490000
127,07/07/2023,7,Miền Trung,Bàn phím,4,768000,550000,3072000,872000
128,24/11/2023,11,Miền Bắc,Tai nghe,7,480000,250000,3360000,1610000
129,11/05/2023,5,Miền Trung,Tai nghe,1,520000,275000,520000,245000
130,23/07/2023,7,Miền Trung,Bàn phím,2,808000,550000,1616000,516000
131,19/03/2023,3,Miền Nam,Tai nghe,3,475000,250000,1425000,675000
132,07/01/2023,1,Miền Trung,Tai nghe,9,510000,275000,4590000,2115000
133,11/01/2023,1,Miền Trung,Bàn phím,3,760000,550000,2280000,630000
134,13/02/2023,2,Miền Bắc,Bàn phím,1,824000,500000,824000,324000
135,08/07/2023,7,Miền Bắc,Laptop Dell,4,14850000,12000000,59400000,11400000
136,21/09/2023,9,Miền Trung,Bàn phím,5,760000,550000,3800000,1050000
137,25/09/2023,9,Miền Nam,Bàn phím,1,832000,500000,832000,332000
138,19/03/2023,3,Miền Bắc,Laptop Dell,2,15450000,12000000,30900000,6900000
139,08/07/2023,7,Miền Nam,Điện thoại,2,7680000,6000000,15360000,3360000
140,06/06/2023,6,Miền Bắc,Bàn phím,1,792000,500000,792000,292000
141,06/02/2023,2,Miền Trung,Bàn phím,1,768000,550000,768000,218000
142,26/12/2023,12,Miền Bắc,Tai nghe,4,480000,250000,1920000,920000
143,04/09/2023,9,Miền Nam,Laptop Dell,4,15150000,12000000,60600000,12600000
144,21/01/2023,1,Miền Nam,Bàn phím,7,824000,500000,5768000,2268000
145,06/04/2023,4,Miền Trung,Bàn phím,2,792000,550000,1584000,484000
146,27/11/2023,11,Miền Nam,Tai nghe,9,480000,250000,4320000,2070000
147,06/02/2023,2,Miền Bắc,Tai nghe,5,515000,250000,2575000,1325000
148,20/06/2023,6,Miền Trung,Chuột quang,3,208000,110000,624000,294000
149,21/10/2023,10,Miền Trung,Laptop Dell,5,15600000,13200000,78000000,12000000
150,17/06/2023,6,Miền Trung,Bàn phím,1,792000,550000,792000,242000
151,22/01/2023,1,Miền Trung,Chuột quang,1,194000,110000,194000,84000
152,19/08/2023,8,Miền Trung,Laptop Dell,5,15000000,13200000,75000000,9000000
153,08/04/2023,4,Miền Trung,Tai nghe,1,495000,275000,495000,220000
154,27/07/2023,7,Miền Nam,Điện thoại,2,7920000,6000000,15840000,3840000
155,11/07/2023,7,Miền Bắc,Tai nghe,1,520000,250000,520000,270000
156,22/12/2023,12,Miền Bắc,Tai nghe,4,495000,250000,1980000,980000
157,15/02/2023,2,Miền Bắc,Bàn phím,1,760000,500000,760000,260000
158,05/10/2023,10,Miền Trung,Laptop Dell,4,15600000,13200000,62400000,9600000
159,12/11/2023,11,Miền Nam,Bàn phím,7,776000,500000,5432000,1932000
160,17/04/2023,4,Miền Trung,Tai nghe,2,520000,275000,1040000,490000
161,07/10/2023,10,Miền Bắc,Laptop Dell,2,15450000,12000000,30900000,6900000
162,05/05/2023,5,Miền Trung,Điện thoại,3,7760000,6600000,23280000,3480000
163,07/08/2023,8,Miền Nam,Điện thoại,5,7600000,6000000,38000000,8000000
164,07/09/2023,9,Miền Bắc,Điện thoại,1,7600000,6000000,7600000,1600000
165,15/11/2023,11,Miền Trung,Điện thoại,6,8240000,6600000,49440000,9840000
166,12/04/2023,4,Miền Nam,Chuột quang,2,202000,100000,404000,204000
167,02/05/2023,5,Miền Trung,Tai nghe,4,495000,275000,1980000,880000
168,09/12/2023,12,Miền Trung,Laptop Dell,5,14400000,13200000,72000000,6000000
169,20/12/2023,12,Miền Trung,Chuột quang,1,192000,110000,192000,82000
170,10/12/2023,12,Miền Nam,Laptop Dell,4,15150000,12000000,60600000,12600000
171,04/03/2023,3,Miền Nam,Chuột quang,4,200000,100000,800000,400000
172,01/05/2023,5,Miền Trung,Bàn phím,1,760000,550000,760000,210000
173,17/11/2023,11,Miền Bắc,Điện thoại,1,8000000,6000000,8000000,2000000
174,07/09/2023,9,Miền Trung,Điện thoại,5,8240000,6600000,41200000,8200000
175,26/09/2023,9,Miền Trung,Bàn phím,5,808000,550000,4040000,1290000
176,10/04/2023,4,Miền Trung,Laptop Dell,5,14550000,13200000,72750000,6750000
177,18/03/2023,3,Miền Nam,Laptop Dell,1,15300000,12000000,15300000,3300000
178,12/08/2023,8,Miền Nam,Chuột quang,4,200000,100000,800000,400000
179,14/12/2023,12,Miền Bắc,Tai nghe,4,475000,250000,1900000,900000
180,10/11/2023,11,Miền Nam,Điện thoại,8,7680000,6000000,61440000,13440000
181,15/03/2023,3,Miền Nam,Tai nghe,3,490000,250000,1470000,720000
182,13/10/2023,10,Miền Bắc,Chuột quang,5,208000,100000,1040000,540000
183,15/05/2023,5,Miền Bắc,Laptop Dell,5,14550000,12000000,72750000,12750000
184,07/12/2023,12,Miền Bắc,Tai nghe,7,520000,250000,3640000,1890000
185,28/08/2023,8,Miền Bắc,Tai nghe,2,480000,250000,960000,460000
186,19/06/2023,6,Miền Trung,Laptop Dell,1,14550000,13200000,14550000,1350000
187,18/03/2023,3,Miền Trung,Laptop Dell,5,14850000,13200000,74250000,8250000
188,10/12/2023,12,Miền Bắc,Bàn phím,3,792000,500000,2376000,876000
189,17/05/2023,5,Miền Bắc,Bàn phím,1,832000,500000,832000,332000
190,09/09/2023,9,Miền Bắc,Điện thoại,3,8320000,6000000,24960000,6960000
191,20/05/2023,5,Miền Nam,Điện thoại,1,7760000,6000000,7760000,1760000
192,01/12/2023,12,Miền Nam,Điện thoại,7,7920000,6000000,55440000,13440000
193,12/01/2023,1,Miền Trung,Tai nghe,3,490000,275000,1470000,645000
194,26/03/2023,3,Miền Trung,Điện thoại,2,8320000,6600000,16640000,3440000
195,09/09/2023,9,Miền Nam,Bàn phím,4,792000,500000,3168000,1168000
196,13/03/2023,3,Miền Trung,Bàn phím,3,808000,550000,2424000,774000
197,06/09/2023,9,Miền Nam,Tai nghe,3,485000,250000,1455000,705000
198,18/04/2023,4,Miền Trung,Bàn phím,2,832000,550000,1664000,564000
199,13/10/2023,10,Miền Bắc,Điện thoại,1,7760000,6000000,7760000,1760000
200,03/03/2023,3,Miền Bắc,Tai nghe,3,475000,250000,1425000,675000
201,05/03/2023,3,Miền Bắc,Laptop Dell,5,14850000,12000000,74250000,14250000
202,18/12/2023,12,Miền Bắc,Chuột quang,5,190000,100000,950000,450000
203,24/06/2023,6,Miền Trung,Chuột quang,1,194000,110000,194000,84000
204,28/08/2023,8,Miền Bắc,Laptop Dell,4,14700000,12000000,58800000,10800000
205,26/02/2023,2,Miền Nam,Tai nghe,4,510000,250000,2040000,1040000
206,24/11/2023,11,Miền Trung,Điện thoại,5,8160000,6600000,40800000,7800000
207,15/11/2023,11,Miền Bắc,Điện thoại,5,7920000,6000000,39600000,9600000
208,03/06/2023,6,Miền Bắc,Điện thoại,1,8080000,6000000,8080000,2080000
209,26/03/2023,3,Miền Trung,Chuột quang,1,190000,110000,190000,80000
210,27/10/2023,10,Miền Bắc,Điện thoại,2,7680000,6000000,15360000,3360000
211,08/06/2023,6,Miền Nam,Tai nghe,3,515000,250000,1545000,795000
212,15/11/2023,11,Miền Nam,Bàn phím,5,800000,500000,4000000,1500000
213,18/09/2023,9,Miền Nam,Chuột quang,5,198000,100000,990000,490000
214,07/05/2023,5,Miền Nam,Bàn phím,5,776000,500000,3880000,1380000
215,09/05/2023,5,Miền Trung,Tai nghe,5,510000,275000,2550000,1175000
216,28/01/2023,1,Miền Nam,Laptop Dell,8,15300000,12000000,122400000,26400000
217,24/12/2023,12,Miền Bắc,Điện thoại,7,7840000,6000000,54880000,12880000
218,08/01/2023,1,Miền Nam,Điện thoại,4,7600000,6000000,30400000,6400000
219,22/03/2023,3,Miền Trung,Chuột quang,1,200000,110000,200000,90000
220,14/12/2023,12,Miền Trung,Điện thoại,3,7920000,6600000,23760000,3960000
221,07/09/2023,9,Miền Trung,Chuột quang,5,202000,110000,1010000,460000
222,17/05/2023,5,Miền Nam,Điện thoại,2,8000000,6000000,16000000,4000000
223,08/12/2023,12,Miền Nam,Chuột quang,1,200000,100000,200000,100000
224,16/10/2023,10,Miền Trung,Laptop Dell,5,14850000,13200000,74250000,8250000
225,06/05/2023,5,Miền Trung,Bàn phím,1,776000,550000,776000,226000
226,10/02/2023,2,Miền Trung,Điện thoại,1,8000000,6600000,8000000,1400000
227,10/07/2023,7,Miền Bắc,Chuột quang,4,202000,100000,808000,408000
228,23/02/2023,2,Miền Bắc,Tai nghe,8,490000,250000,3920000,1920000
229,17/12/2023,12,Miền Nam,Laptop Dell,9,15000000,12000000,135000000,27000000
230,18/12/2023,12,Miền Bắc,Laptop Dell,8,15150000,12000000,121200000,25200000
231,01/02/2023,2,Miền Trung,Bàn phím,3,776000,550000,2328000,678000
232,14/07/2023,7,Miền Bắc,Bàn phím,1,816000,500000,816000,316000
233,09/09/2023,9,Miền Nam,Chuột quang,4,208000,100000,832000,432000
234,10/10/2023,10,Miền Nam,Tai nghe,5,485000,250000,2425000,1175000
235,09/04/2023,4,Miền Trung,Điện thoại,4,7760000,6600000,31040000,4640000
236,23/03/2023,3,Miền Bắc,Bàn phím,3,800000,500000,2400000,900000
237,05/07/2023,7,Miền Nam,Bàn phím,4,760000,500000,3040000,1040000
238,17/03/2023,3,Miền Trung,Điện thoại,1,8000000,6600000,8000000,1400000
239,19/06/2023,6,Miền Bắc,Tai nghe,1,485000,250000,485000,235000
240,15/03/2023,3,Miền Bắc,Tai nghe,5,515000,250000,2575000,1325000
241,24/01/2023,1,Miền Bắc,Bàn phím,1,824000,500000,824000,324000
242,18/07/2023,7,Miền Nam,Chuột quang,3,190000,100000,570000,270000
243,09/05/2023,5,Miền Trung,Tai nghe,5,515000,275000,2575000,1200000
244,23/08/2023,8,Miền Bắc,Laptop Dell,3,15600000,12000000,46800000,10800000
245,08/10/2023,10,Miền Nam,Chuột quang,1,196000,100000,196000,96000
246,22/12/2023,12,Miền Nam,Laptop Dell,6,14250000,12000000,85500000,13500000
247,01/08/2023,8,Miền Nam,Điện thoại,2,8000000,6000000,16000000,4000000
248,27/06/2023,6,Miền Trung,Điện thoại,2,8160000,6600000,16320000,3120000
249,03/02/2023,2,Miền Nam,Bàn phím,7,768000,500000,5376000,1876000
250,11/05/2023,5,Miền Bắc,Laptop Dell,2,14850000,12000000,29700000,5700000
251,14/09/2023,9,Miền Trung,Tai nghe,2,520000,275000,1040000,490000
252,19/04/2023,4,Miền Trung,Bàn phím,3,760000,550000,2280000,630000
253,16/12/2023,12,Miền Trung,Bàn phím,3,760000,550000,2280000,630000
254,09/10/2023,10,Miền Nam,Tai nghe,2,490000,250000,980000,480000
255,19/01/2023,1,Miền Trung,Bàn phím,7,816000,550000,5712000,1862000
256,03/08/2023,8,Miền Bắc,Điện thoại,4,8240000,6000000,32960000,8960000
257,09/10/2023,10,Miền Bắc,Tai nghe,3,480000,250000,1440000,690000
258,13/01/2023,1,Miền Bắc,Laptop Dell,6,14850000,12000000,89100000,17100000
259,17/09/2023,9,Miền Nam,Chuột quang,1,198000,100000,198000,98000
260,02/12/2023,12,Miền Bắc,Laptop Dell,1,15600000,12000000,15600000,3600000
261,28/10/2023,10,Miền Nam,Laptop Dell,2,14250000,12000000,28500000,4500000
262,24/03/2023,3,Miền Trung,Laptop Dell,5,15300000,13200000,76500000,10500000
263,10/06/2023,6,Miền Nam,Chuột quang,4,198000,100000,792000,392000
264,15/08/2023,8,Miền Trung,Chuột quang,3,206000,110000,618000,288000
265,24/06/2023,6,Miền Trung,Chuột quang,3,190000,110000,570000,240000
266,04/07/2023,7,Miền Nam,Bàn phím,4,760000,500000,3040000,1040000
267,26/04/2023,4,Miền Nam,Chuột quang,4,198000,100000,792000,392000
268,03/01/2023,1,Miền Trung,Bàn phím,8,816000,550000,6528000,2128000
269,21/02/2023,2,Miền Nam,Bàn phím,1,832000,500000,832000,332000
270,18/12/2023,12,Miền Trung,Bàn phím,1,808000,550000,808000,258000
271,23/10/2023,10,Miền Trung,Chuột quang,5,206000,110000,1030000,480000
272,11/11/2023,11,Miền Trung,Điện thoại,9,7920000,6600000,71280000,11880000
273,14/07/2023,7,Miền Bắc,Tai nghe,1,490000,250000,490000,240000
274,24/05/2023,5,Miền Nam,Chuột quang,5,190000,100000,950000,450000
275,24/05/2023,5,Miền Nam,Chuột quang,5,206000,100000,1030000,530000
276,17/07/2023,7,Miền Trung,Chuột quang,3,192000,110000,576000,246000
277,25/03/2023,3,Miền Bắc,Điện thoại,5,8080000,6000000,40400000,10400000
278,28/02/2023,2,Miền Nam,Điện thoại,9,8320000,6000000,74880000,20880000
279,19/11/2023,11,Miền Trung,Điện thoại,6,8240000,6600000,49440000,9840000
280,28/09/2023,9,Miền Trung,Bàn phím,4,792000,550000,3168000,968000
281,28/11/2023,11,Miền Bắc,Tai nghe,9,495000,250000,4455000,2205000
282,06/04/2023,4,Miền Bắc,Tai nghe,1,505000,250000,505000,255000
283,18/09/2023,9,Miền Bắc,Laptop Dell,2,14550000,12000000,29100000,5100000
284,16/11/2023,11,Miền Nam,Bàn phím,9,816000,500000,7344000,2844000
285,11/01/2023,1,Miền Trung,Bàn phím,7,808000,550000,5656000,1806000
286,05/04/2023,4,Miền Trung,Laptop Dell,5,15000000,13200000,75000000,9000000
287,25/08/2023,8,Miền Trung,Bàn phím,5,808000,550000,4040000,1290000
288,26/04/2023,4,Miền Bắc,Laptop Dell,4,15600000,12000000,62400000,14400000
289,13/08/2023,8,Miền Nam,Laptop Dell,5,15000000,12000000,75000000,15000000
290,16/04/2023,4,Miền Nam,Bàn phím,4,800000,500000,3200000,1200000
291,02/08/2023,8,Miền Nam,Bàn phím,4,808000,500000,3232000,1232000
292,21/11/2023,11,Miền Trung,Điện thoại,4,8160000,6600000,32640000,6240000
293,15/04/2023,4,Miền Bắc,Chuột quang,3,202000,100000,606000,306000
294,23/06/2023,6,Miền Trung,Chuột quang,1,202000,110000,202000,92000
295,25/10/2023,10,Miền Nam,Laptop Dell,4,14850000,12000000,59400000,11400000
296,01/02/2023,2,Miền Bắc,Điện thoại,8,7760000,6000000,62080000,14080000
297,25/02/2023,2,Miền Bắc,Điện thoại,8,7600000,6000000,60800000,12800000
298,03/02/2023,2,Miền Trung,Chuột quang,8,198000,110000,1584000,704000
299,24/07/2023,7,Miền Bắc,Điện thoại,1,8000000,6000000,8000000,2000000
300,04/08/2023,8,Miền Trung,Chuột quang,1,200000,110000,200000,90000
301,24/03/2023,3,Miền Trung,Điện thoại,2,8000000,6600000,16000000,2800000
302,03/10/2023,10,Miền Nam,Điện thoại,5,8080000,6000000,40400000,10400000
303,13/05/2023,5,Miền Bắc,Tai nghe,5,505000,250000,2525000,1275000
304,06/06/2023,6,Miền Nam,Laptop Dell,3,15300000,12000000,45900000,9900000
305,09/03/2023,3,Miền Nam,Chuột quang,2,198000,100000,396000,196000
306,05/07/2023,7,Miền Bắc,Điện thoại,3,8320000,6000000,24960000,6960000
307,05/01/2023,1,Miền Nam,Chuột quang,4,208000,100000,832000,432000
308,09/12/2023,12,Miền Trung,Tai nghe,1,510000,275000,510000,235000
309,15/08/2023,8,Miền Bắc,Chuột quang,1,202000,100000,202000,102000
310,12/07/2023,7,Miền Bắc,Điện thoại,2,8000000,6000000,16000000,4000000
311,21/09/2023,9,Miền Nam,Tai nghe,4,505000,250000,2020000,1020000
312,06/12/2023,12,Miền Bắc,Bàn phím,6,784000,500000,4704000,1704000
313,28/08/2023,8,Miền Bắc,Tai nghe,4,495000,250000,1980000,980000
314,02/05/2023,5,Miền Nam,Laptop Dell,2,14700000,12000000,29400000,5400000
315,15/04/2023,4,Miền Bắc,Chuột quang,4,192000,100000,768000,368000
316,06/06/2023,6,Miền Nam,Bàn phím,3,760000,500000,2280000,780000
317,11/08/2023,8,Miền Trung,Chuột quang,4,192000,110000,768000,328000
318,13/12/2023,12,Miền Nam,Chuột quang,5,190000,100000,950000,450000
319,03/04/2023,4,Miền Trung,Laptop Dell,5,14850000,13200000,74250000,8250000
320,20/07/2023,7,Miền Nam,Chuột quang,2,206000,100000,412000,212000
321,22/07/2023,7,Miền Trung,Tai nghe,1,510000,275000,510000,235000
322,13/07/2023,7,Miền Nam,Tai nghe,1,490000,250000,490000,240000
323,17/03/2023,3,Miền Bắc,Chuột quang,4,202000,100000,808000,408000
324,01/03/2023,3,Miền Bắc,Laptop Dell,5,15450000,12000000,77250000,17250000
325,21/02/2023,2,Miền Trung,Chuột quang,1,198000,110000,198000,88000
326,13/04/2023,4,Miền Trung,Laptop Dell,3,14250000,13200000,42750000,3150000
327,05/01/2023,1,Miền Trung,Laptop Dell,6,14850000,13200000,89100000,9900000
328,17/09/2023,9,Miền Nam,Bàn phím,4,792000,500000,3168000,1168000
329,14/05/2023,5,Miền Trung,Tai nghe,2,480000,275000,960000,410000
330,15/07/2023,7,Miền Trung,Laptop Dell,1,15300000,13200000,15300000,2100000
331,10/08/2023,8,Miền Bắc,Chuột quang,2,204000,100000,408000,208000
332,05/10/2023,10,Miền Trung,Laptop Dell,3,15450000,13200000,46350000,6750000
333,04/10/2023,10,Miền Bắc,Điện thoại,3,8240000,6000000,24720000,6720000
